Date_Time                    ,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,TC_Counter1,TC_Counter2,TC_Counter3,TC_Counter4,Current(A),Voltage(V),Power(W),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),Charge_Time(s),Discharge_Time(s),V_Max_On_Cycle(V),Coulombic_Efficiency(%),mAh/g,Aux_Temperature_1(C),Aux_dT/dt_1(C),Aux_Temperature_2(C),Aux_dT/dt_2(C),Aux_Temperature_3(C),Aux_dT/dt_3(C)
2021/12/21 22:41:25,1157234.1685,300.004,64,30,3,1,6,2,0,4.188334,0,12.34069,12.47964,47.98663,41.51596,6459.029,862.8449,,101.13,271.296522,30.05474,-0.01083851,29.69515,-0.02738595,29.73356,-0.01635909,
2021/12/22 01:51:29,1168638.1777,300.003,65,30,4,1,6,2,0,4.188352,0,14.69649,14.85741,57.18125,49.18247,6457.848,861.7645,,101.09,322.987174,30.23643,0.03572762,30.21081,-0.04172564,30.27766,-0.02409995,
2021/12/22 05:01:39,1180048.7571,300.0034,66,30,5,1,6,2,0,4.188296,0,17.05195,17.23514,66.3746,56.84935,6461.013,864.2108,,101.07,374.676957,30.10345,0.03682613,30.03687,0.02637446,30.11778,0.03962398,
2021/12/22 08:11:38,1191447.9288,300.003,67,30,6,1,6,2,0,4.188184,0,19.40681,19.61309,75.56542,64.51675,6451.151,863.4871,,101.06,426.371522,29.77031,-0.07356524,29.71003,0.05502164,29.81909,0.0484103,
2021/12/22 11:21:51,1202860.0551,300.0023,68,30,7,1,6,2,0,4.188323,0,21.76187,21.99101,84.75648,72.18253,6464.384,862.5976,,101.05,478.065435,29.68468,-0.103898,29.671,-0.04318178,29.75886,-0.01449645,
2021/12/22 14:31:53,1214262.7922,300.0039,69,30,8,1,6,2,0,4.188019,0,24.11699,24.36881,93.94767,79.84725,6454.096,864.1485,,101.04,529.756739,29.89256,0.02379954,29.57124,-0.02580345,29.65907,-0.008147359,
2021/12/22 17:40:14,1225563.2025,300.0035,70,30,9,1,6,2,0,4.188112,0,26.43469,26.70914,103.0052,87.40362,6365.668,850.3998,,101.04,580.633478,29.6729,-0.03811896,29.71127,0.05216956,29.79208,0.04114449,
2021/12/23 05:55:06,1269656.0297,300.0022,71,30,0,1,6,3,0,4.188272,0,5.265238,5.332429,20.37519,18.46231,14878.33,7688.072,,101.28,115.92237,30.24115,0.06057084,30.38836,0.006148219,30.33532,-0.007080436,
2021/12/23 09:05:20,1281069.1748,300.003,72,30,1,1,6,3,0,4.188067,0,7.620818,7.711272,29.56963,26.13025,6465.045,863.7578,,101.19,167.636348,29.85559,0.05982935,29.79683,0.008671284,29.84942,-0.01560688,
2021/12/23 12:15:32,1292481.1523,300.0042,73,30,2,1,6,3,0,4.18819,0,9.976797,10.09027,38.76478,33.79689,6464.778,862.6219,,101.14,219.353696,29.77824,-0.08588374,29.64381,-0.04896998,29.75993,-0.002622008,
